PersonID,Keyword
306919f0-5ae8-4dee-ba37-0ea56b932b91,Military
306919f0-5ae8-4dee-ba37-0ea56b932b91,Major General
306919f0-5ae8-4dee-ba37-0ea56b932b91,MWV
306919f0-5ae8-4dee-ba37-0ea56b932b91,Male
306919f0-5ae8-4dee-ba37-0ea56b932b91,Confederate
306919f0-5ae8-4dee-ba37-0ea56b932b91,US - Commander - VA108
a2300f00-ee2f-4b71-a514-0ebc49074293,African American
a2300f00-ee2f-4b71-a514-0ebc49074293,Female
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,European American
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Commanders
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Sailors
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Military
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,CS - Commander - NC013
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Captain
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Commanders - Navy
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Male
929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb,Confederate
78a5beff-63c4-42ef-a506-0eef45bcc8ad,European American
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Commanders
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Soldiers
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Commanders - Army
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Military
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Brigadier General
78a5beff-63c4-42ef-a506-0eef45bcc8ad,CS - Commander - LA005
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Male
78a5beff-63c4-42ef-a506-0eef45bcc8ad,Confederate
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,CS - Commander - KY006
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,European American
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Commanders
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Soldiers
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Commanders - Army
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Military
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Brigadier General
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Politician
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Male
26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Confederate
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,European American
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Union
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Commanders
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Commanders - Army
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Soldier
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Military
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Major General
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,US - Commander - LA009
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,MWV
bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Male
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,European American
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Union
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Commanders
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Sailors
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Military
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,US - Commander - SC003
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,US Navy
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Lieutenant
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Commanders - Navy
5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Male
16444c27-8f8e-4307-b6c0-1067bb94c99e,European American
16444c27-8f8e-4307-b6c0-1067bb94c99e,US - Commander - FL001
16444c27-8f8e-4307-b6c0-1067bb94c99e,Union
16444c27-8f8e-4307-b6c0-1067bb94c99e,Commanders
16444c27-8f8e-4307-b6c0-1067bb94c99e,Commanders - Army
16444c27-8f8e-4307-b6c0-1067bb94c99e,Soldier
16444c27-8f8e-4307-b6c0-1067bb94c99e,Military
16444c27-8f8e-4307-b6c0-1067bb94c99e,Male
16444c27-8f8e-4307-b6c0-1067bb94c99e,Colonel
37745fc4-ddf2-4759-9671-10a574d5c1ea,European American
37745fc4-ddf2-4759-9671-10a574d5c1ea,US Commander - MO007
37745fc4-ddf2-4759-9671-10a574d5c1ea,Union
37745fc4-ddf2-4759-9671-10a574d5c1ea,Commanders
37745fc4-ddf2-4759-9671-10a574d5c1ea,Commanders - Army
37745fc4-ddf2-4759-9671-10a574d5c1ea,Soldier
37745fc4-ddf2-4759-9671-10a574d5c1ea,Military
37745fc4-ddf2-4759-9671-10a574d5c1ea,Male
37745fc4-ddf2-4759-9671-10a574d5c1ea,Colonel
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,European American
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Union
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Commanders
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Soldiers
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Commanders - Army
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Military
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,US - Commander - TN033
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Male
38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Brigadier General
6039ac35-5424-47ea-972c-11111315b2fc,European American
6039ac35-5424-47ea-972c-11111315b2fc,Union
6039ac35-5424-47ea-972c-11111315b2fc,Commanders
6039ac35-5424-47ea-972c-11111315b2fc,Soldiers
6039ac35-5424-47ea-972c-11111315b2fc,Commanders - Army
6039ac35-5424-47ea-972c-11111315b2fc,Military
6039ac35-5424-47ea-972c-11111315b2fc,US - Commander - LA015
6039ac35-5424-47ea-972c-11111315b2fc,US - Commander - LA005
6039ac35-5424-47ea-972c-11111315b2fc,Male
6039ac35-5424-47ea-972c-11111315b2fc,Brigadier General
6039ac35-5424-47ea-972c-11111315b2fc,European American - German American
3590208b-a24f-45c0-8a70-113ec32050f1,European American
3590208b-a24f-45c0-8a70-113ec32050f1,Dragoons
3590208b-a24f-45c0-8a70-113ec32050f1,Union
3590208b-a24f-45c0-8a70-113ec32050f1,Soldier
3590208b-a24f-45c0-8a70-113ec32050f1,Military
3590208b-a24f-45c0-8a70-113ec32050f1,Male
5529f0be-28a6-46af-9ec2-1289becfa3d6,politician
5529f0be-28a6-46af-9ec2-1289becfa3d6,Male
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Army Commander - Army of the James
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Union
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Commanders
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Commanders - Army
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Soldier
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Military
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Major General
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,US - Commander - VA075
c94b93a1-0565-4e9f-95af-12f5fe7e93f8,US - Commander - LA002
874fad05-2f21-424a-8f03-1358747940d4,European American
874fad05-2f21-424a-8f03-1358747940d4,Colonel
874fad05-2f21-424a-8f03-1358747940d4,Commanders
874fad05-2f21-424a-8f03-1358747940d4,Soldiers
874fad05-2f21-424a-8f03-1358747940d4,CS - Commander - MO022
874fad05-2f21-424a-8f03-1358747940d4,Commanders - Army
874fad05-2f21-424a-8f03-1358747940d4,Military
874fad05-2f21-424a-8f03-1358747940d4,MO026
874fad05-2f21-424a-8f03-1358747940d4,Male
874fad05-2f21-424a-8f03-1358747940d4,Confederate
883a2c76-0dbe-43e8-97e5-140c74e963fa,European American
883a2c76-0dbe-43e8-97e5-140c74e963fa,Female
31a0d649-84f2-4b86-a4aa-155dd8a544fe,European American
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Commanders
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Commanders - Army
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Soldier
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Military
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Brigadier General
31a0d649-84f2-4b86-a4aa-155dd8a544fe,CS - Commander - NC003
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Male
31a0d649-84f2-4b86-a4aa-155dd8a544fe,Confederate
0284371c-0bac-407f-926c-15c4e81be304,African American
0284371c-0bac-407f-926c-15c4e81be304,Abolitionist
0284371c-0bac-407f-926c-15c4e81be304,Union
0284371c-0bac-407f-926c-15c4e81be304,North
0284371c-0bac-407f-926c-15c4e81be304,Male
0284371c-0bac-407f-926c-15c4e81be304,Slave
921ba6ac-e7e5-439f-92bf-1624cb6eedc4,European American
921ba6ac-e7e5-439f-92bf-1624cb6eedc4,Male
345c79c0-2a20-49cb-9e6c-1717bbf74b49,European American
345c79c0-2a20-49cb-9e6c-1717bbf74b49,CS - Commander - MO007
