"cwsac_id","dbpedia_uri","wikipedia_title","relation"
"VA016","http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek","Battle_of_Beaver_Dam_Creek","="
"VA017","http://dbpedia.org/resource/Battle_of_Gaines's_Mill","Battle_of_Gaines's_Mill","="
"VA018","http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm","Battle_of_Garnett's_&_Golding's_Farm","="
"VA019","http://dbpedia.org/resource/Battle_of_Savage's_Station","Battle_of_Savage's_Station","="
"VA020","http://dbpedia.org/resource/Battle_of_White_Oak_Swamp","Battle_of_White_Oak_Swamp",">"
"VA020","http://dbpedia.org/resource/Battle_of_Glendale","Battle_of_Glendale",">"
"VA020A","http://dbpedia.org/resource/Battle_of_White_Oak_Swamp","Battle_of_White_Oak_Swamp","="
"VA020B","http://dbpedia.org/resource/Battle_of_Glendale","Battle_of_Glendale","="
"VA021","http://dbpedia.org/resource/Battle_of_Malvern_Hill","Battle_of_Malvern_Hill","="
"VA022","http://dbpedia.org/resource/Battle_of_Cedar_Mountain","Battle_of_Cedar_Mountain","="
"VA023","http://dbpedia.org/resource/First_Battle_of_Rappahannock_Station","First_Battle_of_Rappahannock_Station","="
"VA024","http://dbpedia.org/resource/Manassas_Station_Operations_(Stonewall_Jackson)","Manassas_Station_Operations_(Stonewall_Jackson)","="
"VA025","http://dbpedia.org/resource/Battle_of_Thoroughfare_Gap","Battle_of_Thoroughfare_Gap","="
"VA026","http://dbpedia.org/resource/Second_Battle_of_Bull_Run","Second_Battle_of_Bull_Run","="
"VA027","http://dbpedia.org/resource/Battle_of_Chantilly","Battle_of_Chantilly","="
"VA028","http://dbpedia.org/resource/Battle_of_Fredericksburg","Battle_of_Fredericksburg","="
"VA029","http://dbpedia.org/resource/Battle_of_Kelly's_Ford","Battle_of_Kelly's_Ford","="
