slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1862-10-10-skirmish-near-green-springs-furnace,Maryland,1862-10-10,1862-10-10,Skirmish near Green Springs Furnace,ILLINOIS--12th Cavalry (Detachment).,Skirmish,,,,,
Maryland/1862-10-12-skirmish-mouth-of-monocacy,Maryland,1862-10-12,1862-10-12,"Skirmish, Mouth of Monocacy","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). MAINE--3rd and 4th Infantry. UNITED STATES--Battery ""M"", 2nd Artillery",Skirmish,,,,,
Maryland/1862-10-12-skirmish-white-s-ford,Maryland,1862-10-12,1862-10-12,"Skirmish, White's Ford","MAINE--3rd Infantry. PENNSYLVANIA--99th Infantry. RHODE ISLAND--1st Cavalry. UNITED STATES--Battery ""M"", 2nd Artillery",Skirmish,,,,,
Maryland/1862-10-12-1862-10-13-skirmishes-sharpsburg-and-hagerstown-pike,Maryland,1862-10-12,1862-10-13,"Skirmishes, Sharpsburg and Hagerstown Pike",ILLINOIS--8th Cavalry. NEW YORK--95th Infantry.,Skirmishes,,,,,
Maryland/1862-10-16-1862-10-17-reconnaissance-from-sharpsburg-to-smithfield-w-va,Maryland,1862-10-16,1862-10-17,"Reconnaissance from Sharpsburg to Smithfield, W. Va.","DISTRICT OF COLUMBIA--2nd Infantry. MASSACHUSETTS--1st Cavalry (Detachment); 3rd Battery Light Artillery; 9th and 32nd Infantry. MICHIGAN--4th Infantry. NEW YORK--14th Infantry. PENNSYLVANIA--62nd, 91st, 126th, 129th and 134th Infantry. UNITED STATES--5th Cavalry (Detachment); Battery ""D"", 5th Artillery; 3rd, 4th, 12th and 14th Infantry. Union loss, 3 killed, 6 wounded, 3 missing. Total. 12.",Reconnaissance,12,9,3,6,3
Maryland/1862-10-29-affair-opposite-williamsport,Maryland,1862-10-29,1862-10-29,"Affair, opposite Williamsport",MARYLAND--1st Cavalry (Detachment); Capture of Confederate Pickets.,Affair,,,,,
Maryland/1862-11-24-1862-11-25-expedition-from-sharpsburg-to-shepherdstown-w-va,Maryland,1862-11-24,1862-11-25,"Expedition from Sharpsburg to Shepherdstown, W. Va.",MAINE--1st Cavalry. MASSACHUSETTS--1st Cavalry (Detachments).,Expedition,,,,,
Maryland/1862-11-25-raid-on-poolesville,Maryland,1862-11-25,1862-11-25,Raid on Poolesville,Confederate Reports.,Raid,,,,,
Maryland/1862-12-14-skirmish-poolesville,Maryland,1862-12-14,1862-12-14,"Skirmish, Poolesville",NEW YORK--11th Cavalry.,Skirmish,,,,,
Maryland/1863-02-09-skirmish-williamsport,Maryland,1863-02-09,1863-02-09,"Skirmish, Williamsport",WEST VIRGINIA--3rd Cavalry.,Skirmish,,,,,
Maryland/1863-03-23-skirmish-williamsport,Maryland,1863-03-23,1863-03-23,"Skirmish, Williamsport",(No Reports.),Skirmish,,,,,
Maryland/1863-04-26-skirmish-oakland,Maryland,1863-04-26,1863-04-26,"Skirmish, Oakland",WEST VIRGINIA--6th Infantry (1 Co.).,Skirmish,,,,,
Maryland/1863-04-26-skirmish-altamont,Maryland,1863-04-26,1863-04-26,"Skirmish, Altamont",ILLINOIS--23rd Infantry (Detachment).,Skirmish,,,,,
Maryland/1863-06-10-skirmish-seneca-mills,Maryland,1863-06-10,1863-06-10,"Skirmish, Seneca Mills","MICHIGAN--6th Cavalry (Co. ""I""). Union loss, 4 killed, 1 wounded. Total, 5.",Skirmish,5,5,4,1,
