slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1863-06-15-skirmish-williamsport,Maryland,1863-06-15,1863-06-15,"Skirmish, Williamsport","MARYLAND--1st Potomac Home Brigade, Cavalry (Cole's Battalion). Union loss, 1 killed, 2 wounded. Total, 3.",Skirmish,3,3,1,2,
Maryland/1863-06-17-skirmish-catoctin-creek,Maryland,1863-06-17,1863-06-17,"Skirmish, Catoctin Creek","MARYLAND--1st Potomac Home Brigade, Cavalry (Cole's Battalion). Union loss (including Point of Rocks, June 17), 1 killed, 3 wounded, 26 missing. Total, 30.",Skirmish,30,4,1,3,26
Maryland/1863-06-17-skirmish-point-of-rocks,Maryland,1863-06-17,1863-06-17,"Skirmish, Point of Rocks","MARYLAND--2nd Potomac Home Brigade, Cavalry (Co. ""F""). VIRGINIA--Means' Independent Cavalry Co. Union loss included in Catoctin Creek, June 17.",Skirmish,,,,,
Maryland/1863-06-20-skirmish-middletown,Maryland,1863-06-20,1863-06-20,"Skirmish, Middletown",(No Reports.),Skirmish,,,,,
Maryland/1863-06-21-skirmish-frederick,Maryland,1863-06-21,1863-06-21,"Skirmish, Frederick",MARYLAND--1st Cavalry (Detachment).,Skirmish,,,,,
Maryland/1863-06-24-skirmish-sharpsburg,Maryland,1863-06-24,1863-06-24,"Skirmish, Sharpsburg",(No Reports.),Skirmish,,,,,
Maryland/1863-06-28-skirmish-rockville,Maryland,1863-06-28,1863-06-28,"Skirmish, Rockville","NEW YORK--2nd Cavalry. Union loss, 3 wounded, 16 missing. Total, 19.",Skirmish,19,3,,3,16
Maryland/1863-06-28-skirmishes-offutt-s-cross-roads-and-seneca,Maryland,1863-06-28,1863-06-28,"Skirmishes, Offutt's Cross Roads and Seneca",(No Reports.),Skirmishes,,,,,
Maryland/1863-06-29-skirmish-westminister,Maryland,1863-06-29,1863-06-29,"Skirmish, Westminister",DELAWARE--1st Cavalry.,Skirmish,,,,,
Maryland/1863-06-29-skirmishes-lisbon-and-poplar-springs,Maryland,1863-06-29,1863-06-29,"Skirmishes, Lisbon and Poplar Springs",PENNSYLVANIA--3rd Cavalry.,Skirmishes,,,,,
Maryland/1863-06-29-skirmish-muddy-branch,Maryland,1863-06-29,1863-06-29,"Skirmish, Muddy Branch",(No Reports.),Skirmish,,,,,
Maryland/1863-06-30-skirmish-westminister,Maryland,1863-06-30,1863-06-30,"Skirmish, Westminister","PENNSYLVANIA--3rd Cavalry. Union loss, 2 killed, 8 wounded, 39 missing. Total, 49.",Skirmish,49,10,2,8,39
Maryland/1863-07-04-action-near-emmettsburg,Maryland,1863-07-04,1863-07-04,Action near Emmettsburg,"MARYLAND--1st Potomac Home Brigade, Cavalry. MASSACHUSETTS--1st Cavalry. NEW JERSEY--1st Cavalry. PENNSYLVANIA--1st and 3rd Cavalry. UNITED STATES--Battery ""A"", 2nd Artillery Union loss, 68 missing.",Action,,,,,68
Maryland/1863-07-05-action-smithsburg,Maryland,1863-07-05,1863-07-05,"Action, Smithsburg","MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--2nd, 4th and 5th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--8th and 18th Cavalry. VERMONT--1st Cavalry. UNITED STATES--Batteries ""M"", 2nd Artillery, ""C"", 3rd Artillery, and ""E"", 4th Artillery Union loss, 6 wounded, 4 missing. Total, 10.",Action,10,6,,6,4
Maryland/1863-07-06-skirmish-south-mountain,Maryland,1863-07-06,1863-07-06,"Skirmish, South Mountain",PENNSYLVANIA--61st Infantry.,Skirmish,,,,,
Maryland/1863-07-06-action-williamsport,Maryland,1863-07-06,1863-07-06,"Action, Williamsport","ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"" and ""B""). MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--2nd, 4th, 5th, 6th, 8th and 9th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--6th, 8th, 17th and 18th Cavalry. WEST VIRGINIA--3rd Cavalry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Battery ""K"", 1st Artillery; Batteries ""A"" and ""M"", 2nd Artillery Union loss, 14 killed, 37 wounded, 69 missing. Total, 120.",Action,120,51,14,37,69
Maryland/1863-07-06-action-hagerstown,Maryland,1863-07-06,1863-07-06,"Action, Hagerstown","MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--2nd, 4th and 5th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--8th and 18th Cavalry. VERMONT--1st Cavalry. WEST VIRGINIA--1st Cavalry. UNITED STATES--Batteries ""K"", 1st Artillery, ""A"" and ""M"", 2nd Artillery Union loss, 19 killed, 50 wounded, 194 missing. Total, 263.",Action,263,69,19,50,194
Maryland/1863-07-07-skirmish-downsville,Maryland,1863-07-07,1863-07-07,"Skirmish, Downsville",(No Reports.),Skirmish,,,,,
Maryland/1863-07-07-skirmish-funkstown,Maryland,1863-07-07,1863-07-07,"Skirmish, Funkstown","UNITED STATES--6th Cavalry. Union loss, 6 killed, 9 wounded, 50 missing. Total, 65.",Skirmish,65,15,6,9,50
Maryland/1863-07-07-reoccupation-maryland-heights,Maryland,1863-07-07,1863-07-07,Reoccupation Maryland Heights,"INDIANA--17th Independent Battery Light Artillery MARYLAND--1st, 4th, 7th and 8th Infantry. MASSACHUSETTS--1st Heavy Artillery (4 Cos.).",Reoccupation,,,,,
Maryland/1863-07-08-skirmish-near-williamsport,Maryland,1863-07-08,1863-07-08,Skirmish near Williamsport,"PENNSYLVANIA--Washington County Cavalry Co. Union loss, 4 missing.",Skirmish,,,,,4
Maryland/1863-07-08-skirmish-funkstown,Maryland,1863-07-08,1863-07-08,"Skirmish, Funkstown",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1863-07-08-action-boonsborough,Maryland,1863-07-08,1863-07-08,"Action, Boonsborough","ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"" and ""B""). MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--2nd, 4th, 5th, 6th, 8th and 9th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--6th, 8th, 17th and 18th Cavalry. VERMONT--1st Cavalry. WEST VIRGINIA--1st and 3rd Cavalry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Batteries ""K"", 1st Artillery, ""A"" and ""M"", 2nd Artillery, ""E"", 4th Artillery Union loss, 8 killed, 54 wounded, 18 missing. Total, 80.",Action,80,62,8,54,18
Maryland/1863-07-09-skirmish-benevola-or-beaver-creek,Maryland,1863-07-09,1863-07-09,"Skirmish, Benevola or Beaver Creek","ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry. NEW YORK--6th, 8th and 9th Cavalry. PENNSYLVANIA--6th and 17th Cavalry. WEST VIRGINIA--3rd Cavalry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Battery ""K"", 1st Artillery Union loss, 3 killed, 17 wounded, 5 missing. Total, 25.",Skirmish,25,20,3,17,5
Maryland/1863-07-10-skirmish-near-clear-spring,Maryland,1863-07-10,1863-07-10,Skirmish near Clear Spring,PENNSYLVANIA--12th Cavalry (1 Co.).,Skirmish,,,,,
Maryland/1863-07-10-skirmish-hagerstown,Maryland,1863-07-10,1863-07-10,"Skirmish, Hagerstown",MARYLAND--1st Cavalry.,Skirmish,,,,,
Maryland/1863-07-10-skirmish-maryland-heights,Maryland,1863-07-10,1863-07-10,"Skirmish, Maryland Heights",MARYLAND--4th Infantry.,Skirmish,,,,,
Maryland/1863-07-10-1863-07-13-skirmishes-at-and-near-funkstown,Maryland,1863-07-10,1863-07-13,Skirmishes at and near Funkstown,"ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry. MAINE--5th and 6th Infantry. NEW JERSEY--1st, 2nd, 3rd and 15th Infantry. NEW YORK--6th, 8th, and 9th Cavalry; 3rd Independent Battery Light Artillery; 121st Infantry. PENNSYLVANIA--17th Cavalry; 49th, 82nd 95th, 96th and 119th Infantry. RHODE ISLAND--Battery ""G"", 1st Light Artillery; 2nd Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WEST VIRGINIA--3rd Cavalry. WISCONSIN--5th Infantry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Battery ""K"", 1st Artillery Union loss, 14 killed, 77 wounded, 6 missing. Total, 97.",Skirmishes,97,91,14,77,6
Maryland/1863-07-10-1863-07-13-skirmishes-jones-cross-roads-near-williamsport,Maryland,1863-07-10,1863-07-13,"Skirmishes, Jones' Cross Roads near Williamsport","NEW YORK--2nd and 4th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--8th Cavalry. UNITED STATES--Battery ""C"", 3rd Artillery Union loss, 2 killed, 7 wounded, 2 missing. Total, 11.",Skirmishes,11,9,2,7,2
Maryland/1863-07-10-1863-07-13-skirmishes-hagerstown,Maryland,1863-07-10,1863-07-13,"Skirmishes, Hagerstown","CONNECTICUT--17th Infantry. MAINE--5th Infantry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--2nd, 4th and 5th Cavalry; 157th Infantry. OHIO--6th Cavalry; 107th Infantry. PENNSYLVANIA--8th and 18th Cavalry; 33rd Militia Infantry. VERMONT--1st Cavalry. WEST VIRGINIA--1st Cavalry. UNITED STATES--Battery ""M"", 2nd Artillery; Battery ""E"", 4th Artillery Union loss, 5 killed, 31 wounded, 13 missing. Total, 49.",Skirmishes,49,36,5,31,13
Maryland/1863-07-10-skirmish-old-antietam-forge-near-leitersburg,Maryland,1863-07-10,1863-07-10,"Skirmish, Old Antietam Forge near Leitersburg","MARYLAND--1st Cavalry. MASSACHUSETTS--1st Cavalry. NEW JERSEY--1st Cavalry. PENNSYLVANIA--1st and 3rd Cavalry. UNITED STATES--Battery ""A"", 2nd Artillery",Skirmish,,,,,
Maryland/1863-07-11-skirmish-funkstown,Maryland,1863-07-11,1863-07-11,"Skirmish, Funkstown",NEW YORK--62nd Infantry.,Skirmish,,,,,
Maryland/1863-07-12-action-south-mountain,Maryland,1863-07-12,1863-07-12,"Action, South Mountain","NEW JERSEY--Battery ""B"", Light Artillery",Action,,,,,
Maryland/1863-07-12-skirmish-jones-cross-roads,Maryland,1863-07-12,1863-07-12,"Skirmish, Jones' Cross Roads",MASSACHUSETTS--1st Cavalry.,Skirmish,,,,,
Maryland/1863-07-12-skirmish-williamsport,Maryland,1863-07-12,1863-07-12,"Skirmish, Williamsport",CONNECTICUT--5th Infantry.,Skirmish,,,,,
Maryland/1863-07-12-1863-07-13-action-hagerstown,Maryland,1863-07-12,1863-07-13,"Action, Hagerstown","CONNECTICUT--17th Infantry. MAINE--5th Infantry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--157th Infantry. OHIO--6th Cavalry; 107th Infantry. PENNSYLVANIA--18th Cavalry; 33rd Militia Infantry.",Action,,,,,
Maryland/1863-07-12-skirmish-funkstown,Maryland,1863-07-12,1863-07-12,"Skirmish, Funkstown","MARYLAND--1st, 4th, 7th and 8th Infantry.",Skirmish,,,,,
Maryland/1863-07-13-skirmish-williamsport,Maryland,1863-07-13,1863-07-13,"Skirmish, Williamsport","MARYLAND--8th Infantry. PENNSYLVANIA--1st Reserves, Infantry.",Skirmish,,,,,
Maryland/1863-07-13-skirmish-rockville,Maryland,1863-07-13,1863-07-13,"Skirmish, Rockville",CONNECTICUT--1st Cavalry. MASSACHUSETTS--2nd Cavalry.,Skirmish,,,,,
Maryland/1863-07-13-skirmish-fair-play,Maryland,1863-07-13,1863-07-13,"Skirmish, Fair Play",PENNSYLVANIA--28th Infantry.,Skirmish,,,,,
Maryland/1863-07-13-skirmish-frederick,Maryland,1863-07-13,1863-07-13,"Skirmish, Frederick",MAINE--5th Battery Light Artillery,Skirmish,,,,,
Maryland/1863-07-13-1863-07-15-skirmishes-jones-cross-roads,Maryland,1863-07-13,1863-07-15,"Skirmishes, Jones' Cross Roads",OHIO--6th Cavalry.,Skirmishes,,,,,
Maryland/1863-07-14-skirmish-williamsport,Maryland,1863-07-14,1863-07-14,"Skirmish, Williamsport","MARYLAND--8th Infantry. MASSACHUSETTS--18th Infantry. MICHIGAN--5th Cavalry. UNITED STATES--Battery ""M"", 2nd Artillery Union loss, 2 wounded, 5 missing. Total, 7.",Skirmish,7,2,,2,5
Maryland/1863-07-14-engagement-falling-waters,Maryland,1863-07-14,1863-07-14,"Engagement, Falling Waters","ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry. MARYLAND--2nd Eastern Shore Infantry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--5th, 6th, 8th and 9th Cavalry; 59th and 64th Infantry. OHIO--6th Cavalry. PENNSYLVANIA--17th and 18th Cavalry; 145th Infantry. VERMONT--1st Cavalry. WEST VIRGINIA--1st and 3rd Cavalry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Batteries ""A"" and ""M"", 2nd Artillery; Battery ""E"", 4th Artillery Union loss, 31 killed, 58 wounded, 32 missing. Total. 121.",Engagement,121,89,31,58,32
Maryland/1863-07-17-skirmish-point-of-rocks,Maryland,1863-07-17,1863-07-17,"Skirmish, Point of Rocks",WEST VIRGINIA--Means' Independent Cavalry Co.,Skirmish,,,,,
Maryland/1863-08-04-skirmish-williamsport,Maryland,1863-08-04,1863-08-04,"Skirmish, Williamsport",PENNSYLVANIA--Fayette County Cavalry Co.,Skirmish,,,,,
Maryland/1863-08-14-skirmish-hagerstown,Maryland,1863-08-14,1863-08-14,"Skirmish, Hagerstown",PENNSYLVANIA--95th Infantry.,Skirmish,,,,,
Maryland/1863-08-27-skirmish-edwards-ferry,Maryland,1863-08-27,1863-08-27,"Skirmish, Edwards' Ferry",NEW YORK--11th Cavalry.,Skirmish,,,,,
Maryland/1863-09-14-skirmish-catoctin-mountain,Maryland,1863-09-14,1863-09-14,"Skirmish, Catoctin Mountain",MARYLAND--Cole's Potomac Home Brigade; Battalion Cavalry.,Skirmish,,,,,
Maryland/1863-09-22-skirmish-rockville,Maryland,1863-09-22,1863-09-22,"Skirmish, Rockville",NEW YORK--11th Cavalry.,Skirmish,,,,,
Maryland/1864-04-12-1864-04-14-expedition-from-point-lookout-to-westmoreland-county,Maryland,1864-04-12,1864-04-14,Expedition from Point Lookout to Westmoreland County,UNITED STATES--Cavalry (Detachment); 36th Colored Infantry; 3 Gunboats Potomac Flotilla.,Expedition,,,,,
Maryland/1864-05-11-1864-05-14-expedition-from-point-lookout-to-the-rappahannock-river,Maryland,1864-05-11,1864-05-14,Expedition from Point Lookout to the Rappahannock River,UNITED STATES--36th Colored Infantry and Potomac Flotilla.,Expedition,,,,,
Maryland/1864-06-10-skirmish-point-of-rocks,Maryland,1864-06-10,1864-06-10,"Skirmish, Point of Rocks","UNITED STATES--2nd Colored Cavalry. Union loss, 2 killed.",Skirmish,,,2,,
Maryland/1864-06-11-1864-06-21-expedition-from-point-lookout-to-pope-s-creek,Maryland,1864-06-11,1864-06-21,Expedition from Point Lookout to Pope's Creek,UNITED STATES--2nd and 5th Cavalry (Detachments); 36th Colored Infantry and Sailors Potomac Flotilla.,Expedition,,,,,
Maryland/1864-07-05-skirmish-point-of-rocks,Maryland,1864-07-05,1864-07-05,"Skirmish, Point of Rocks",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1864-07-05-skirmish-solomon-s-gap,Maryland,1864-07-05,1864-07-05,"Skirmish, Solomon's Gap",NEW YORK--21st Cavalry.,Skirmish,,,,,
Maryland/1864-07-05-skirmish-noland-s-ferry,Maryland,1864-07-05,1864-07-05,"Skirmish, Noland's Ferry",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1864-07-05-skirmish-keedysville,Maryland,1864-07-05,1864-07-05,"Skirmish, Keedysville","MARYLAND--1st Potomac Home Brigade, Cavalry.",Skirmish,,,,,
Maryland/1864-07-05-skirmish-hagerstown,Maryland,1864-07-05,1864-07-05,"Skirmish, Hagerstown","UNITED STATES--McLean's Detachment Cavalry. Union loss, 2 killed, 6 wounded, 25 missing. Total, 33.",Skirmish,33,8,2,6,25
Maryland/1864-07-06-skirmish-hagerstown,Maryland,1864-07-06,1864-07-06,"Skirmish, Hagerstown",PENNSYLVANIA--22nd Cavalry.,Skirmish,,,,,
Maryland/1864-07-06-1864-07-07-action-maryland-heights,Maryland,1864-07-06,1864-07-07,"Action, Maryland Heights","ILLINOIS--23rd Infantry. OHIO--135th, 160th and 161st Infantry. PENNSYLVANIA--22nd Cavalry. WEST VIRGINIA--10th Infantry. Union loss, 6 killed, 18 wounded, 15 missing. Total, 39.",Action,39,24,6,18,15
Maryland/1864-07-07-skirmish-middletown,Maryland,1864-07-07,1864-07-07,"Skirmish, Middletown","ILLINOIS--8th Cavalry. MARYLAND--Baltimore Battery Light Artillery (Section). Union loss, 3 killed, 7 wounded. Total, 10.",Skirmish,10,10,3,7,
Maryland/1864-07-07-skirmish-solomon-s-gap,Maryland,1864-07-07,1864-07-07,"Skirmish, Solomon's Gap","ILLINOIS--8th Cavalry. MARYLAND--Baltimore Battery Light Artillery; 3rd Potomac Home Brigade Infantry. Union loss, 5 killed, 20 wounded. Total, 25.",Skirmish,25,25,5,20,
Maryland/1864-07-07-action-hager-s-or-catoctin-mountain,Maryland,1864-07-07,1864-07-07,Action Hager's or Catoctin Mountain,MARYLAND--Baltimore Battery Light Artillery,Action,,,,,
Maryland/1864-07-07-skirmish-brownsville,Maryland,1864-07-07,1864-07-07,"Skirmish, Brownsville",NEW YORK--21st Cavalry.,Skirmish,,,,,
Maryland/1864-07-07-1864-07-08-skirmishes-frederick,Maryland,1864-07-07,1864-07-08,"Skirmishes, Frederick","ILLINOIS--8th Cavalry. MARYLAND--Baltimore Battery Light Artillery; 3rd Potomac Home Brigade Infantry. Union loss, 2 killed, 7 wounded. Total, 9.",Skirmishes,9,9,2,7,
Maryland/1864-07-08-skirmish-antietam-bridge,Maryland,1864-07-08,1864-07-08,"Skirmish, Antietam Bridge",PENNSYLVANIA--22nd Cavalry.,Skirmish,,,,,
Maryland/1864-07-08-skirmish-frederick,Maryland,1864-07-08,1864-07-08,"Skirmish, Frederick","ILLINOIS--8th Cavalry; Detachment of Mounted Infantry of various Regiments under Captain Lieb, U. S. A.; Detachment of Cavalry of various Regiments under Major Wells; 1st N. Y. Veteran Cavalry. MARYLAND--Baltimore Battery Light Artillery VIRGINIA--Loudoun Independent Rangers.",Skirmish,,,,,
Maryland/1864-07-08-skirmish-sandy-hook,Maryland,1864-07-08,1864-07-08,"Skirmish, Sandy Hook",WEST VIRGINIA--11th Infantry.,Skirmish,,,,,
Maryland/1864-07-09-battle-of-monocacy,Maryland,1864-07-09,1864-07-09,Battle of Monocacy,"ILLINOIS--8th Cavalry. MARYLAND--Baltimore Battery Light Artillery; 1st and 3rd Potomac Home Brigade and 11th Infantry. NEW JERSEY--14th Infantry. NEW YORK--9th Heavy Artillery; 106th and 151st Infantry. PENNSYLVANIA--87th and 138th Infantry. OHIO--110th, 122nd, 126th, 144th, 149th and 159th Infantry. VERMONT--10th Infantry. VIRGINIA--Loudoun Independent Rangers; Detachment of mixed Cavalry. Union loss, 123 killed, 603 wounded, 568 captured and missing. Total, 1,294.",Battle,1294,726,123,603,568
Maryland/1864-07-09-skirmish-urbana,Maryland,1864-07-09,1864-07-09,"Skirmish, Urbana","ILLINOIS--8th Cavalry, Union loss, 1 killed, 5 wounded. Total, 6.",Skirmish,6,6,1,5,
Maryland/1864-07-09-skirmish-rockville,Maryland,1864-07-09,1864-07-09,"Skirmish, Rockville",Fry's Provisional Cavalry Regiment.,Skirmish,,,,,
Maryland/1864-07-10-skirmish-near-monocacy,Maryland,1864-07-10,1864-07-10,Skirmish near Monocacy,ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1864-07-11-skirmish-frederick,Maryland,1864-07-11,1864-07-11,"Skirmish, Frederick",MARYLAND--1st Potomac Home Brigade Cavalry. NEW YORK--21st Cavalry.,Skirmish,,,,,
Maryland/1864-07-12-action-poolesville,Maryland,1864-07-12,1864-07-12,"Action, Poolesville",OHIO--6th Cavalry.,Action,,,,,
Maryland/1864-07-13-skirmish-rockville,Maryland,1864-07-13,1864-07-13,"Skirmish, Rockville",ILLINOIS--8th Cavalry. MASSACHUSETTS--2nd Cavalry. Fry's Provisional Cavalry Regiment.,Skirmish,,,,,
Maryland/1864-07-14-skirmish-poolesville,Maryland,1864-07-14,1864-07-14,"Skirmish, Poolesville",ILLINOIS--8th Cavalry. MASSACHUSETTS--2nd Cavalry Fry's Provisional Cavalry Regiment.,Skirmish,,,,,
Maryland/1864-07-18-skirmish-cockeysville,Maryland,1864-07-18,1864-07-18,"Skirmish, Cockeysville",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1864-07-18-action-percyville,Maryland,1864-07-18,1864-07-18,"Action, Percyville","WEST VIRGINIA--Battery ""E"", Light Artillery",Action,,,,,
Maryland/1864-07-26-action-muddy-branch,Maryland,1864-07-26,1864-07-26,"Action, Muddy Branch",MICHIGAN--6th Cavalry.,Action,,,,,
Maryland/1864-07-29-skirmish-clear-springs,Maryland,1864-07-29,1864-07-29,"Skirmish, Clear Springs",UNITED STATES--McLean's Detachment Cavalry.,Skirmish,,,,,
Maryland/1864-07-29-action-hagerstown,Maryland,1864-07-29,1864-07-29,"Action, Hagerstown","OHIO--8th Cavalry. PENNSYLVANIA--14th Cavalry. WEST VIRGINIA--1st, 2nd and 3rd Cavalry. UNITED STATES--Battery ""L"", 5th Artillery",Action,,,,,
Maryland/1864-07-30-affair-emmettsburg,Maryland,1864-07-30,1864-07-30,"Affair, Emmettsburg",PENNSYLVANIA--Philadelphia Artillery; Scouts.,Affair,,,,,
Maryland/1864-07-30-skirmish-monocacy-junction,Maryland,1864-07-30,1864-07-30,"Skirmish, Monocacy Junction",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1864-07-30-skirmish-hagerstown,Maryland,1864-07-30,1864-07-30,"Skirmish, Hagerstown",MARYLAND--1st Potomac Home Brigade Cavalry.,Skirmish,,,,,
Maryland/1864-07-31-skirmish-hancock-pursuit-of-mccausland,Maryland,1864-07-31,1864-07-31,"Skirmish, Hancock, pursuit of McCausland","OHIO--8th Cavalry. PENNSYLVANIA--14th Cavalry. WEST VIRGINIA--1st, 2nd and 3rd Cavalry.",Skirmish,,,,,
Maryland/1864-08-01-attack-on-cumberland-pleasant-hill,Maryland,1864-08-01,1864-08-01,"Attack on Cumberland, Pleasant Hill","ILLINOIS--Battery ""L"", 1st Light Artillery OHIO--156th Infantry. WEST VIRGINIA--6th (1 Co.) and 11th (4 Cos.) Infantry. Union loss, 1 killed, 1 wounded. Total, 2.",Attack,2,2,1,1,
Maryland/1864-08-01-affair-flintstone-creek,Maryland,1864-08-01,1864-08-01,"Affair, Flintstone Creek",WEST VIRGINIA--11th Infantry.,Affair,,,,,
Maryland/1864-08-02-skirmish-oldtown,Maryland,1864-08-02,1864-08-02,"Skirmish, Oldtown","OHIO--153rd Infantry. Union loss, 2 killed, 3 wounded, 10 missing. Total, 15.",Skirmish,15,5,2,3,10
Maryland/1864-08-02-skirmish-hancock,Maryland,1864-08-02,1864-08-02,"Skirmish, Hancock",(No Reports.),Skirmish,,,,,
Maryland/1864-08-04-skirmish-antietam-ford,Maryland,1864-08-04,1864-08-04,"Skirmish, Antietam Ford",PENNSYLVANIA--14th Cavalry.,Skirmish,,,,,
Maryland/1864-08-05-skirmishes-williamsport-and-hagerstown,Maryland,1864-08-05,1864-08-05,"Skirmishes, Williamsport and Hagerstown",WEST VIRGINIA--1st Cavalry.,Skirmishes,,,,,
Maryland/1864-08-05-skirmish-keedysville,Maryland,1864-08-05,1864-08-05,"Skirmish, Keedysville",MARYLAND--1st Potomac Home Brigade Cavalry,Skirmish,,,,,
Maryland/1864-08-11-1864-08-21-expedition-from-point-lookout-to-pope-s-creek,Maryland,1864-08-11,1864-08-21,Expedition from Point Lookout to Pope's Creek,UNITED STATES--2nd and 5th Cavalry (Detachments); 36th Colored Infantry.,Expedition,,,,,
Maryland/1864-08-22-affair-cove-point,Maryland,1864-08-22,1864-08-22,"Affair, Cove Point",MASSACHUSETTS--5th Colored Cavalry.,Affair,,,,,
Maryland/1864-08-26-affair-williamsport,Maryland,1864-08-26,1864-08-26,"Affair, Williamsport","NEW YORK--1st (Lincoln) Cavalry. OHIO--8th Cavalry. PENNSYLVANIA--14th and 22nd Cavalry. WEST VIRGINIA--1st, 2nd and 3rd Cavalry. UNITED STATES--Battery ""L"", 5th Artillery",Affair,,,,,
Maryland/1864-09-13-skirmish-sugar-loaf-mt,Maryland,1864-09-13,1864-09-13,"Skirmish, Sugar Loaf Mt",VERMONT--3rd Infantry.,Skirmish,,,,,
Maryland/1864-09-27-1864-09-28-operations-in-montgomery-county,Maryland,1864-09-27,1864-09-28,Operations in Montgomery County,"DELAWARE--1st Cavalry. MARYLAND--Smith's Independent Cavalry Company. PENNSYLVANIA--Battery ""H"", 3rd Artillery",Operations,,,,,
Maryland/1864-10-14-skirmish-adamstown,Maryland,1864-10-14,1864-10-14,"Skirmish, Adamstown",WEST VIRGINIA--Mean's and Atwell's Cavalry Companies.,Skirmish,,,,,
Pennsylvania/1862-10-10-action-chambersburg,Pennsylvania,1862-10-10,1862-10-10,"Action, Chambersburg",PENNSYLVANIA--29th Infantry.,Action,,,,,
Pennsylvania/1862-10-11-skirmish-near-gettysburg,Pennsylvania,1862-10-11,1862-10-11,Skirmish near Gettysburg,PENNSYLVANIA--6th Cavalry (Detachment).,Skirmish,,,,,
Pennsylvania/1863-06-22-skirmish-greencastle,Pennsylvania,1863-06-22,1863-06-22,"Skirmish, Greencastle","NEW YORK--1st (Lincoln) Cavalry. Union loss, 1 killed.",Skirmish,,,1,,
Pennsylvania/1863-06-24-skirmish-mcconnellsburg,Pennsylvania,1863-06-24,1863-06-24,"Skirmish, McConnellsburg",PENNSYLVANIA--12th Cavalry.,Skirmish,,,,,
