combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
US	1864	12	1	1864	12	31	Siege of Petersburg, Va	VA		66	278	269	613	
US	1865	1	15	1865	1	15	Fort Fisher, N. C	NC	NC015	184	749	22	955	
US	1865	1	1	1865	1	31	Siege of Petersburg, Va	VA		51	269	81	401	
US	1865	2	3	1865	2	9	Rivers's Bridge, S. C	SC	SC011	18	70	4	92	
US	1865	2	5	1865	2	7	Dabney's Mills, Va	VA	VA083	171	1,181	187	1,539	
US	1865	2	10	1865	2	10	James's Island, S. C	SC	NC016	20	76	0	96	
US	1865	2	11	1865	2	11	Sugar Loaf Battery, N. C	NC	NC016	14	114	0	128	
US	1865	2	20	1865	2	20	Town Creek, N. C	NC	NC016	30	154	0	184	
US	1865	2	1	1865	2	28	Siege of Petersburg, Va	VA		43	257	72	372	
US	1865	3	6	1865	3	6	National Bridge, Fla	FL	FL006	22	46	13	81	
US	1865	3	8	1865	3	10	Wilcox's Bridge, N. C	NC	NC017	64	319	953	1,336	
US	1865	3	10	1865	3	10	Monroe's Cross Roads, N. C	NC	NC018	19	61	103	183	
US	1865	3	16	1865	3	16	Averasboro, N. C	NC	NC019	93	531	54	678	
US	1865	3	19	1865	3	19	Bentonville, N. C	NC	NC020	191	1,168	287	1,646	
US	1865	3	25	1865	3	25	Fort Stedman, Va	VA	VA084	72	450	522	1,044	
US	1865	3	25	1865	3	25	Petersburg, Va	VA	VA084	103	864	209	1,176	
US	1865	3	29	1865	3	29	Gravelly Run, Va	VA	VA085	55	306	22	383	
US	1865	3	31	1865	3	31	White Oak Road, Va	VA	VA087	177	1,134	556	1,867	
US	1865	3	1	1865	3	31	Siege of Petersburg, Va	VA		58	272	98	428	
US	1865	3	31	1865	3	31	Dinwiddie C. H., Va	VA	VA086	67	354	0	421	1
US	1865	4	1	1865	4	1	Five Forks, Va	VA	VA088	124	706	54	884	
US	1865	4	2	1865	4	2	Selma, Ala	VA	AL007	42	270	7	319	1
US	1865	4	2	1865	4	2	Fall of Petersburg, Va	VA	VA089	296	2,565	500	3,361	
US	1865	4	3	1865	4	3	Namozin Church, Va	VA	VA124	10	85	0	95	1
US	1865	4	5	1865	4	5	Amelia Springs, Va	VA	VA091	20	96	0	116	1
US	1865	4	6	1865	4	6	Sailor's Creek, Va	VA	VA093	166	1,014	0	1,180	
US	1865	4	7	1865	4	7	Farmville, Va	VA	VA094	58	504	9	571	
US	1865	4	8	1865	4	8	Spanish Fort, Ala	VA	AL005	100	695	0	795	
US	1865	4	9	1865	4	9	Fort Blakely, Ala	VA	AL006	113	516	0	629	
US	1865	4	16	1865	4	16	Columbus; West Point, Ga	GA		13	53	0	66	1
CS	1861	7	21	1861	7	21	First Bull Run, Va	VA	VA005	387	1,582	13	1,982	
CS	1861	8	10	1861	8	10	Wilson's Creek, Mo	MO	MO004	265	800	30	1,095	
CS	1861	10	3	1861	10	3	Greenbrier River, W. Va	WV	WV007	6	33	13	52	
CS	1861	10	21	1861	10	21	Ball's Bluff, Va	VA	VA006	36	117	2	155	
CS	1861	11	7	1861	11	7	Belmont, Mo	MO	MO009	105	419	117	641	
CS	1861	12	13	1861	12	13	Camp Alleghany, W. Va	WV	WV008	20	96	28	144	
CS	1861	12	20	1861	12	20	Dranesville, Va	VA	VA007	43	143	8	194	
CS	1862	1	19	1862	1	19	Mill Springs, Ky	KY	KY006	125	309	95	529	
