comm_id,dbpedia_url,commander,last_me,middle_me,first_me
US153,http://dbpedia.org/resource/Lovell_Rousseau,8672c474-e8c5-4747-b340-5ee36ede781a,Rousseau,H.,Lovell
US155,http://dbpedia.org/resource/poleon_J.T._Da,e10e5704-5a68-4a9d-8475-2e037f09e959,Da,J.T.,poleon
US156,http://dbpedia.org/resource/than_Kimball,cc0f3d5e-05e5-431e-82dc-f7ef2a53cdb5,Kimball,,than
US157,http://dbpedia.org/resource/thaniel_Lyon,a590cf3d-2e52-49bb-83fc-dd1911ba651d,Lyon,,thaniel
US158,http://dbpedia.org/resource/thaniel_P._Banks,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,P.,thaniel
US159,http://dbpedia.org/resource/Nelson_A._Miles,1fedb511-506d-4699-a786-e2becf3b0fb2,Miles,A.,Nelson
US160,http://dbpedia.org/resource/Oliver_O._Howard,fe627383-b1ba-4c9a-b23f-75a2cd4b5c42,Howard,O.,Oliver
US163,http://dbpedia.org/resource/Philip_Kearny,564b6066-81af-41f5-9fac-f0776134454b,Kearny,,Philip
US164,http://dbpedia.org/resource/Philip_Sheridan,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,,Philip
US165,http://dbpedia.org/resource/Powell_Clayton,65299168-a5f5-4a3b-8daa-7a9c0468c210,Clayton,,Powell
US166,http://dbpedia.org/resource/Quincy_Adams_Gillmore,29c87347-958e-438f-b06a-5b3e586564cd,Gillmore,A.,Quincy
US169,http://dbpedia.org/resource/Robert_H._Milroy,8c251b93-5768-4630-ae9a-dd45b4e785c6,Milroy,,Robert
US170,http://dbpedia.org/resource/Robert_Patterson,a861cf0f-a8bd-4f7a-90c6-98668d0285cf,Patterson,,Robert
US171,http://dbpedia.org/resource/Robert_S._Granger,edd26ba8-b6b7-48dd-8b93-3e46475d0ac5,Granger,S.,Robert
US172,http://dbpedia.org/resource/Robert_C._Schenck,009983b0-ccd0-4ed6-814e-c729a69e69e3,Schenck,,Robert
US174,http://dbpedia.org/resource/Samuel_D._Sturgis,4a50678b-9211-4c6a-828e-d9607876849a,Sturgis,D.,Samuel
US175,http://dbpedia.org/resource/Samuel_Merrill_(Iowa),f204fb08-f45f-499a-b776-1e9c11759118,Merrill,,Samuel
US176,http://dbpedia.org/resource/Samuel_Ryan_Curtis,e08b618c-acc7-4502-9ef8-b8546572e22d,Curtis,R.,Samuel
US177,http://dbpedia.org/resource/Stephen_A._Hurlbut,fc3d9f53-c536-4b82-bbb5-7c1d0b075d54,Hurlbut,A.,Stephen
US178,http://dbpedia.org/resource/Stephen_G._Burbridge,05ae48ad-00e7-40f3-a820-dd4d48ac54ec,Burbridge,Gano,Stephen
US179,http://dbpedia.org/resource/Stephen_G._Hicks,70b1756d-74cd-4b37-a8d7-baf233651469,Hicks,G.,Stephen
US18,http://dbpedia.org/resource/Alfred_Thomas_Archimedes_Torbert,441dd7be-d428-420b-b4f5-188065792229,Torbert,,Alfred
US180,http://dbpedia.org/resource/Theodore_Read,,Read,,T.
US182,http://dbpedia.org/resource/Thomas_A._Morris,96ee5a73-bd4c-4dd0-8db9-cd91b2ce98ee,Morris,A.,Thomas
US183,"http://dbpedia.org/resource/Thomas_Ewing,_Jr.",aa1614b8-da23-4624-a541-822e2a02f462,Ewing,,Thomas
US184,http://dbpedia.org/resource/Thomas_Kilby_Smith,cabe5d39-74fb-4b1a-bc94-6d2b7752ea58,Smith,Kilby,Thomas
