"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"NC020","Confederate",1,"b0f7a304-f6c5-4a8d-b816-066426e5dc1c","Johnston","Joseph","","E.","General",0
"NM001","Confederate",1,"9839110b-154f-4796-aa4f-dd402e2382ca","Sibley","Henry","Hastings","H.","Brigadier General",0
"NM001","Confederate",2,"1f2d408e-a3d6-431d-aefe-9d6df9e7902b","Green","Thomas","","","Colonel",0
"NM002","Confederate",1,"2828095d-0ca4-4577-86db-715eeb9ec93c","Pyron","Charles","","L.","Major",0
"NM002","Confederate",2,"a0843832-94ac-4663-b4bc-288b8d1b817f","Scurry","William","Read","R.","Lieutenant Colonel",0
"OH001","Confederate",1,"813a4704-9ba5-4fda-b14d-f0c9136f575a","Morgan","John","Hunt","H.","Brigadier General",0
"OH002","Confederate",1,"813a4704-9ba5-4fda-b14d-f0c9136f575a","Morgan","John","Hunt","H.","Brigadier General",0
"OK001","Confederate",1,"0585679d-c4d3-46b9-a774-1c06c6d7f9e9","Cooper","Douglas","Hancock","H.","Colonel",0
"OK002","Confederate",1,"0585679d-c4d3-46b9-a774-1c06c6d7f9e9","Cooper","Douglas","Hancock","H.","Colonel",0
"OK003","Confederate",1,"821c62b4-7f4e-40be-8322-94db26045dbc","McIntosh","James","McQueen","M.","Colonel",0
"OK004","Confederate",1,"0585679d-c4d3-46b9-a774-1c06c6d7f9e9","Cooper","Douglas","Hancock","H.","Colonel",0
"OK005","Confederate",1,"d3200a83-bc5f-4625-9b18-d13631f83bca","Jumper","John","","","Lieutenant Colonel",0
"OK006","Confederate",1,"853eafa1-c45c-408b-a123-9fd360ea6d38","Watie","Stand","","","Colonel",0
"OK007","Confederate",1,"0585679d-c4d3-46b9-a774-1c06c6d7f9e9","Cooper","Douglas","Hancock","H.","Brigadier General",0
"PA001","Confederate",1,"6df9b482-4757-474f-80a9-bd1d82228a63","Stuart","James","Ewell Brown","E. B.","Major General",0
"PA002","Confederate",1,"d428cfef-5c7a-4230-b394-b195481d9a9f","Lee","Robert","","E.","General",0
"SC001","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","Brigadier General",0
"SC002","Confederate",1,"6bce5d35-7ced-46f5-8786-31eb932c1354","Evans","Nathan","George","G.","Brigadier General",0
"SC003","Confederate",1,"3469c117-c317-4233-be44-66115446b543","McCullough","James","","","Colonel",0
"SC004","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"SC005","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"SC006","Confederate",1,"ab232acd-f2f4-4776-9a87-570765a95ad6","Hagood","Johnson","","","Brigadier General",0
"SC007","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"SC008","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"SC009","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"SC010","Confederate",1,"fc5aa395-01c0-47f3-b085-e0e6d82a0269","Colcock","Charles","","J.","Colonel",0
"SC011","Confederate",1,"90903b53-9a64-4cb6-8d68-a525cc3c0ac3","McLaws","Lafayette","","","Major General",0
"TN001","Confederate",1,"dbcb21e8-0e79-45df-a990-d8429ef5e041","Tilghman","Lloyd","","","Brigadier General",0
