,X,uri,fuzzy_name
133,485,http://dbpedia.org/resource/Army_of_the_Kanawha,Army of the Kanawha
21,89,http://dbpedia.org/resource/Army_of_the_Mississippi,Army of the Mississippi
322,1226,http://dbpedia.org/resource/Army_of_the_Ohio,Army of the Ohio
455,1783,http://dbpedia.org/resource/Army_of_the_Peninsula,Army of the Peninsula
383,1491,http://dbpedia.org/resource/Army_of_the_Potomac,Army of the Potomac
378,1476,http://dbpedia.org/resource/Army_of_the_South,Army of the South
48,179,http://dbpedia.org/resource/Army_of_the_Southwest,Army of the Southwest
415,1612,http://dbpedia.org/resource/Army_of_the_Tennessee,Army of the Tennessee
209,786,http://dbpedia.org/resource/Army_of_the_Trans-Mississippi,Army of the Trans-Mississippi
217,803,http://dbpedia.org/resource/Army_of_the_Valley,Army of the Valley
31,127,http://dbpedia.org/resource/Army_of_the_West_(1862),Army of the West (1862)
144,534,http://dbpedia.org/resource/Army_of_Virginia,Army of Virginia
98,382,http://dbpedia.org/resource/Army_of_West_Mississippi,Army of West Mississippi
401,1566,http://dbpedia.org/resource/Army_of_West_Virginia,Army of West Virginia
501,1993,http://dbpedia.org/resource/Army_of_Western_Louisiana,Army of Western Louisiana
25,103,http://dbpedia.org/resource/Asa_Lewis,Asa Lewis
309,1165,http://dbpedia.org/resource/Asa_P._Blunt,Asa P. Blunt
109,427,http://dbpedia.org/resource/Battery_%22A%22_West_Virginia_Light_Artillery,Battery %22A%22 West Virginia Light Artillery
527,2116,http://dbpedia.org/resource/Battery_%22B%22_West_Virginia_Light_Artillery,Battery %22B%22 West Virginia Light Artillery
421,1631,http://dbpedia.org/resource/Battery_%22C%22_West_Virginia_Light_Artillery,Battery %22C%22 West Virginia Light Artillery
508,2028,http://dbpedia.org/resource/Battery_%22D%22_West_Virginia_Light_Artillery,Battery %22D%22 West Virginia Light Artillery
361,1387,http://dbpedia.org/resource/Battery_%22E%22_West_Virginia_Light_Artillery,Battery %22E%22 West Virginia Light Artillery
570,2302,http://dbpedia.org/resource/Battery_%22F%22_West_Virginia_Light_Artillery,Battery %22F%22 West Virginia Light Artillery
99,384,http://dbpedia.org/resource/Battery_%22G%22_West_Virginia_Light_Artillery,Battery %22G%22 West Virginia Light Artillery
522,2097,http://dbpedia.org/resource/Battery_%22H%22_West_Virginia_Light_Artillery,Battery %22H%22 West Virginia Light Artillery
375,1451,http://dbpedia.org/resource/Battle_of_Day's_Gap,Battle of Day's Gap
138,499,http://dbpedia.org/resource/Benjamin_Hardin_Helm,Benjamin Hardin Helm
553,2247,http://dbpedia.org/resource/Bissell's_Engineer_Regiment_of_the_West,Bissell's Engineer Regiment of the West
244,915,http://dbpedia.org/resource/Blazer's_Scouts,Blazer's Scouts
284,1053,http://dbpedia.org/resource/Blue_Ridge_Rifles,Blue Ridge Rifles
364,1399,http://dbpedia.org/resource/Brush_Battalion,Brush Battalion
436,1728,http://dbpedia.org/resource/Bureau_of_Military_Information,Bureau of Military Information
167,630,http://dbpedia.org/resource/California_Column,California Column
12,49,http://dbpedia.org/resource/Camp_Boone,Camp Boone
142,524,http://dbpedia.org/resource/Camp_Moore,Camp Moore
486,1932,http://dbpedia.org/resource/Caudill's_Army,Caudill's Army
427,1668,http://dbpedia.org/resource/Cavalry_Corps_(Union_Army),Cavalry Corps (Union Army)
86,340,"http://dbpedia.org/resource/Cavalry_Corps,_Army_of_Northern_Virginia","Cavalry Corps, Army of Northern Virginia"
215,798,http://dbpedia.org/resource/Charles_B._Stoughton,Charles B. Stoughton
220,810,http://dbpedia.org/resource/Charles_Herbert_Joyce,Charles Herbert Joyce
