BattlefieldCode,belligerent,commander_number,commander
MO024,US,1,e08b618c-acc7-4502-9ef8-b8546572e22d
MO025,Confederate,1,66599684-582c-4caa-aff0-7220f9c67c1f
MO025,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a
MO025,Confederate,2,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO026,Native American,1,874fad05-2f21-424a-8f03-1358747940d4
MO026,US,1,a3f15046-9028-421d-bbe0-fb6c341a991f
MO026,Native American,2,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO026,US,2,maj. gen. alfred pleasonton
MO027,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO027,US,1,e08b618c-acc7-4502-9ef8-b8546572e22d
MO028,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO028,US,1,8e1fc583-1c34-4dea-9cae-48f17abfc57d
MO029,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO029,US,1,a3f15046-9028-421d-bbe0-fb6c341a991f
MS001,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MS001,US,1,7d67c576-bbd4-4b23-ac53-300f9522f311
MS002,Confederate,1,a68145ec-a562-494d-8e95-c9bd2e0ff473
MS002,US,1,7d67c576-bbd4-4b23-ac53-300f9522f311
MS003,Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea
MS003,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
MS004,Confederate,1,121a2f46-8937-472b-aca1-7a6afd0d8f57
MS004,US,1,8da88a4c-d429-4247-a6e8-cba41f280a10
MS005,Confederate,1,68d8b0eb-8e55-447d-a5cf-a8cc6832b0ec
MS005,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
MS006,Confederate,1,121a2f46-8937-472b-aca1-7a6afd0d8f57
MS006,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475
MS007,Confederate,1,55cf9433-a8d5-4665-96cc-3f8dd99995ef
MS007,US,1,fb4ade2a-549d-4707-9784-5c2d3a928df6
MS008,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
MS008,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475
MS008,Confederate,2,55cf9433-a8d5-4665-96cc-3f8dd99995ef
MS009,Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea
MS009,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475
MS010,Confederate,1,121a2f46-8937-472b-aca1-7a6afd0d8f57
MS010,US,1,ff3bef0a-370b-48a3-9e53-a77c9f9a5b35
MS011,Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea
MS011,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475
MS012,Confederate,1,e71bce51-e400-4ab2-a3a4-4fec249ca448
MS012,US,1,033ec012-d845-474f-bf9c-28366e02d1a4
MS013,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c
MS013,US,1,ee39c7f4-4266-4d29-90b8-5108a8f3b8b5
MS014,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c
MS014,US,1,4a50678b-9211-4c6a-828e-d9607876849a
MS015,Confederate,1,8f59c204-3c38-4233-8ff0-3b70562303ca
MS015,US,1,869b58fb-03ee-4ad7-bfd4-faf6f24b9378
MS015,Confederate,2,02b4fa9a-541a-45c7-9097-ab1aee538c6c
MS016,Confederate,1,183d0a7d-f06a-4c7b-a575-7616e491618b
MS016,US,1,aa49135f-0a49-45bd-8360-000895a6b978
NC001,Confederate,1,1c8ec84f-b650-4d45-8048-57f6312808ee
NC001,US,1,c94b93a1-0565-4e9f-95af-12f5fe7e93f8
NC002,Confederate,1,2f7d8b0b-710b-4f79-b13e-2cf4b9844059
NC002,US,1,c5f9dd77-1122-48f0-8840-614720ba50d8
NC003,Confederate,1,31a0d649-84f2-4b86-a4aa-155dd8a544fe
NC003,US,1,c5f9dd77-1122-48f0-8840-614720ba50d8
NC004,Confederate,1,1c40dc50-3137-4c42-bea0-c40403c7a212
NC004,US,1,87cff8b4-f792-44ed-a7cc-9bc684d88994
NC005,Confederate,1,d0779979-1010-4b55-abe4-24977d8cb5f3
NC005,US,1,a2c3c81f-a2fa-43d9-9c8b-3b896a014391
NC006,Confederate,1,ec859f80-4b41-4461-82d4-f477340eb6d9
NC006,US,1,4f6ea451-e68a-4fb4-b5b9-724da90c13dd
NC007,Confederate,1,6bce5d35-7ced-46f5-8786-31eb932c1354
NC007,US,1,f7a09726-833c-415e-acbc-7eab70718f97
NC008,Confederate,1,06b8daf9-11b4-4e8b-9af4-8adaaa9b1d9c
NC008,US,1,f7a09726-833c-415e-acbc-7eab70718f97
NC009,Confederate,1,e1407be2-ad06-4d63-86d3-b11e74c69aa8
NC009,US,1,f7a09726-833c-415e-acbc-7eab70718f97
NC010,Confederate,1,0b57b2da-99cd-48b9-8cbd-b843cd7ca04f
NC010,US,1,86e9a968-23b5-4d01-b486-f1d339f8e7b7
NC011,Confederate,1,0b57b2da-99cd-48b9-8cbd-b843cd7ca04f
NC011,US,1,f7a09726-833c-415e-acbc-7eab70718f97
NC012,Confederate,1,6650b484-9515-4e17-bafe-7110fbbf68e2
NC012,US,1,4f2fabea-8c43-4f75-9535-7445291615a8
NC013,Confederate,1,929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb
NC013,US,1,3bda5978-2905-48d9-b4b5-b50e8370dcc8
NC014,Confederate,1,6650b484-9515-4e17-bafe-7110fbbf68e2
NC014,US,1,8da88a4c-d429-4247-a6e8-cba41f280a10
NC014,US,2,c94b93a1-0565-4e9f-95af-12f5fe7e93f8
NC015,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80
NC015,US,1,8da88a4c-d429-4247-a6e8-cba41f280a10
NC015,Confederate,2,6650b484-9515-4e17-bafe-7110fbbf68e2
