battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
ND001,I,Inkpaduta,Chief,Inkpaduta,,,
ND001,US,Henry Hastings Sibley,Brigadier General,Henry,Sibley,Hastings,
ND002,I,Inkpaduta,Chief,Inkpaduta,,,
ND002,US,Henry Hastings Sibley,Brigadier General,Henry,Sibley,Hastings,
ND003,I,Inkpaduta,Chief,Inkpaduta,,,
ND003,US,Henry Hastings Sibley,Brigadier General,Henry,Sibley,Hastings,
ND004,I,Inkpaduta,Chief,Inkpaduta,,,
ND004,US,Alfred Sully,Brigadier General,Alfred,Sully,,
ND005,I,Inkpaduta,Chief,Inkpaduta,,,
ND005,US,Alfred Sully,Brigadier General,Alfred,Sully,,
NM001,CS,Henry Hastings Sibley,Brigadier General,Henry,Sibley,Hastings,
NM001,CS,Tom Green,Colonel,Tom,Green,,
NM001,US,E.R.S. Canby,Colonel,E.R.S.,Canby,,
NM002,CS,Charles L. Pyron,Major,Charles,Pyron,L.,
NM002,CS,William R. Scurry,Lieutenant Colonel,William,Scurry,R.,
NM002,US,John Chivington,Major,John,Chivington,,
NM002,US,John P. Slough,Colonel,John,Slough,P.,
OH001,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
OH001,US,Edward H. Hobson,Brigadier General,Edward,Hobson,H.,
OH002,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
OH002,US,James Shackelford,Brigadier General,James,Shackelford,,
OK001,CS,Douglas H. Cooper,Colonel,Douglas,Cooper,H.,
OK001,I,Opothleyahola,Chief,Opothleyahola,,,
OK002,CS,Douglas H. Cooper,Colonel,Douglas,Cooper,H.,
OK002,I,Opothleyahola,Chief,Opothleyahola,,,
OK003,CS,James McQueen McIntosh,Colonel,James,McIntosh,McQueen,
OK003,I,Opothleyahola,Chief,Opothleyahola,,,
OK004,CS,Douglas H. Cooper,Colonel,Douglas,Cooper,H.,
OK004,US,James G. Blunt,Brigadier General,James,Blunt,G.,
OK005,CS,John Jumper,Lieutenant Colonel,John,Jumper,,
OK005,US,Charles Willette,Major,Charles,Willette,,
OK006,CS,Stand Watie,Colonel,Stand,Watie,,
