year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1862,Sat 30 Aug,"Bull Run II, Va. (Manassas II, Groveton Heights)  ","Richmond, Ky. (White's Farm)",,,,,,,
1862,Sun 31 Aug,"Bull Run II, Va. (Manassas II)",,,,,,,,
1862,Mon 1 Sept,"Bull Run II, Va. ended (Chantilly, Ox Hill)",,,,,,,,
1862,Wed 3 Sept,"Natchez, Miss.",,,,,,,,
1862,Sat 6 Sept,"Clarksville II, Tenn. (Rickett's Hill)",,,,,,,,
1862,Fri 12 Sept,"Harpers Ferry II, Va.",,,,,,,,
1862,Sat 13 Sept,"Harpers Ferry II, Va.",,,,,,,,
1862,Sun 14 Sept,"Harpers Ferry II, Va.  South Mountain, Md. (Turner's Gap, Fox's Gap, Crampton's Gap, Boonesboro)",,,,,,,,
1862,Mon 15 Sept,"Harpers Ferry II, Va.",,,,,,,,
1862,Tues 16 Sept,"Munfordville I, Ky.",,,,,,,,
1862,Wed 17 Sept,"Munfordville, Ky.","Antietam, Md. (Sharpsburg) ",,,,,,,
1862,Fri 19 Sept,"Shepherdstown, Va. (Blackford's Ford, Boteler's Ford) "," Iuka, Miss.",,,,,,,
1862,Thurs 25 Sept,"Davis' Bridge, Tenn. (Pocahontas)",,,,,,,,
1862,Tues 30 Sept,"Newtonia I, Mo.",,,,,,,,
1862,Fri 3 Oct,"Corinth II, Miss.",,,,,,,,
1862,Sat 4 Oct,"Corinth II, Miss.",,,,,,,,
1862,Sun 5 Oct,"Hatchie River, Miss. (Big Hatchie River, Hatchie Bridge, Davis' Bridge, Metamora)",,,,,,,,
1862,Wed 8 Oct,"Perryville, Ky. (Chaplin Hills)",,,,,,,,
1862,Fri 17 Oct,"Morgan's Raid II commenced (Clay's Ferry, Ky.)",,,,,,,,
1862,Sat 18 Oct,"Morgan's Raid II, (Crab Orchard II, Lexington I, Versailles II, Ky.)",,,,,,,,
1862,Sun 19 Oct,"Morgan's Raid II (Lawrenceburg II, Bardstown I, Elizabethtown, Ky.)",,,,,,,,
1862,Mon 20 Oct,Morgan's Raid II,,,,,,,,
1862,Tues 21 Oct,Morgan's Raid II,,,,,,,,
1862,Wed 22 Oct,"Cumberland Gap II, Tenn. ","Pocotaligo, S.C. (Yemassee) ",Morgan's Raid II,,,,,,
1862,Thurs 23 Oct,Morgan's Raid II,,,,,,,,
1862,Fri 24 Oct,"Morgan's Raid II (Morgantown, Ky.)",,,,,,,,
1862,Sat 25 Oct,"Morgan's Raid II (Hopkinsville, Ky.)",,,,,,,,
1862,Sun 26 Oct,Morgan's Raid II,,,,,,,,
1862,Mon 27 Oct,Morgan's Raid II,,,,,,,,
1862,Tues 28 Oct,Morgan's Raid II,,,,,,,,
1862,Wed 29 Oct,Morgan's Raid II,,,,,,,,
1862,Thurs 30 Oct,Morgan's Raid II,,,,,,,,
1862,Fri 31 Oct,Morgan's Raid II,,,,,,,,
1862,Sat 1 Nov,Morgan's Raid II,,,,,,,,
1862,Sun 2 Nov,Morgan's Raid II,,,,,,,,
1862,Mon 3 Nov,"Bayou Teche I, La. (USS Calhoun, Diana, Estrella, Kinsman, and St Mary) ",Morgan's Raid II,,,,,,,
1862,Tues 4 Nov,Morgan's Raid II,,,,,,,,
1862,Wed 5 Nov,"Morgan's Raid II ended (Gallatin II, Tenn.)","Chester Gap, Va. (Barbee's Crossroads) ",,,,,,,
1862,Fri 28 Nov,"Cane Hill, Ark. (Boston Mountains, Boonsboro I)",,,,,,,,
1862,Fri 5 Dec,"Coffeeville, Miss.",,,,,,,,
1862,Sun 7 Dec,"Prairie Grove, Ark.",,,,,,,,
1862,Thurs 11 Dec,"Forrest's Raid II commenced (Columbia I, Tenn.)","Fredericksburg I, Va. (Marye's Heights I) ",,,,,,,
1862,Fri 12 Dec,"Fredericksburg I, Va. (Marye's Heights I) ","USS Cairo, Yazoo River, Miss.  ","Kinston I, N.C.  ",Forrest's Raid II,,,,,
1862,Sat 13 Dec,"Fredericksburg I, Va. (Marye's Heights I) ",Forrest's Raid II,,,,,,,
1862,Sun 14 Dec,Forrest's Raid II,,,,,,,,
1862,Mon 15 Dec,Forrest's Raid II,,,,,,,,
1862,Tues 16 Dec,Forrest's Raid II,,,,,,,,
1862,Wed 17 Dec,Forrest's Raid II,,,,,,,,
1862,Thurs 18 Dec,"Forrest's Raid II (Lexington, Tenn.)",,,,,,,,
1862,Fri 19 Dec,"Forrest's Raid II (Salem Church, Salem Cemetery, Jackson, Tenn.)",,,,,,,,
1862,Sat 20 Dec,"Holly Springs, Miss.","Forrest's Raid II (Trenton, Tenn.) ",,,,,,,
1862,Sun 21 Dec,Forrest's Raid II ," Morgan's Raid III, Ky. commenced (Alexandria, Tenn.)",,,,,,,
