battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
NC007,US,John G. Foster,Brigadier General,0,John,Foster,G.,
NC008,CS,Beverly Robertson,Brigadier General,0,Beverly,Robertson,,
NC008,US,John G. Foster,Brigadier General,0,John,Foster,G.,
NC009,CS,Thomas Clingman,Brigadier General,0,Thomas,Clingman,,
NC009,US,John G. Foster,Brigadier General,0,John,Foster,G.,
NC010,CS,D.H. Hill,Major General,0,D.H.,Hill,,
NC010,US,Hiram Anderson,Lieutenant Colonel,0,Hiram,Anderson,,
NC011,CS,D.H. Hill,Major General,0,D.H.,Hill,,
NC011,US,John G. Foster,Brigadier General,0,John,Foster,G.,
NC012,CS,Robert Hoke,Major General,0,Robert,Hoke,,
NC012,US,Henry W. Wessells,Colonel,0,Henry,Wessells,W.,
NC013,CS,J.W. Cooke,Commander,1,J.W.,Cooke,,
NC013,US,Melancton Smith,Captain (Naval),0,Melancton,Smith,,
NC014,CS,Robert Hoke,Major General,0,Robert,Hoke,,
NC014,US,David D. Porter,Rear Admiral,1,David,Porter,D.,
NC014,US,Benjamin Butler,Major General,0,Benjamin,Butler,,
NC015,CS,Braxton Bragg,General,0,Braxton,Bragg,,
NC015,CS,Robert Hoke,Major General,0,Robert,Hoke,,
NC015,CS,Charles Lamb,Colonel,0,Charles,Lamb,,
NC015,US,David D. Porter,Rear Admiral,1,David,Porter,D.,
NC015,US,Alfred Terry,Major General,0,Alfred,Terry,,
NC016,CS,Braxton Bragg,General,0,Braxton,Bragg,,
NC016,US,John M. Schofield,Major General,0,John,Schofield,M.,
NC017,CS,Braxton Bragg,General,0,Braxton,Bragg,,
NC017,US,John M. Schofield,Major General,0,John,Schofield,M.,
NC018,CS,Joseph Wheeler,Major General,0,Joseph,Wheeler,,
NC018,CS,Wade Hampton,Lieutenant General,0,Wade,Hampton,,
NC018,US,H. Judson Kilpatrick,Brigadier General,0,H.,Kilpatrick,Judson,
NC019,CS,William Hardee,Lieutenant General,0,William,Hardee,,
NC019,US,Henry Slocum,Major General,0,Henry,Slocum,,
NC020,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
