"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"VA023","Rappahannock Station","US","John Pope","http://dbpedia.org/resource/John_Pope_(military_officer)","Major General"
"VA023","Rappahannock Station","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA024","Manassas Station Operations","US","G.W. Taylor","http://dbpedia.org/resource/George_W._Taylor_(general)","Brigadier General"
"VA024","Manassas Station Operations","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA025","Thoroughfare Gap","CS","James Longstreet","http://dbpedia.org/resource/James_Longstreet","Lieutenant General"
"VA025","Thoroughfare Gap","US","James Ricketts","http://dbpedia.org/resource/James_B._Ricketts","Brigadier General"
"VA026","Manassas, Second","US","John Pope","http://dbpedia.org/resource/John_Pope_(military_officer)","Major General"
"VA026","Manassas, Second","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA026","Manassas, Second","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA027","Chantilly","US","Isaac Stevens","http://dbpedia.org/resource/Isaac_Stevens","Major General"
"VA027","Chantilly","US","Philip Kearny","http://dbpedia.org/resource/Philip_Kearny","Major General"
"VA027","Chantilly","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA028","Fredericksburg I","US","Ambrose E. Burnside","http://dbpedia.org/resource/Ambrose_Burnside","Major General"
"VA028","Fredericksburg I","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA029","Kellys Ford","CS","Fitzhugh Lee","http://dbpedia.org/resource/Fitzhugh_Lee","Brigadier General"
"VA029","Kellys Ford","US","William W. Averell","http://dbpedia.org/resource/William_W._Averell","Brigadier General"
"VA030","Suffolk","CS","James Longstreet","http://dbpedia.org/resource/James_Longstreet","Lieutenant General"
"VA030","Suffolk","US","John Peck","http://dbpedia.org/resource/John_J._Peck","Brigadier General"
"VA031","Suffolk","CS","James Longstreet","http://dbpedia.org/resource/James_Longstreet","Lieutenant General"
"VA031","Suffolk","US","John Peck","http://dbpedia.org/resource/John_J._Peck","Brigadier General"
