"id_from","id_to","relation"
"VA078","http://dbpedia.org/resource/Battle_of_Darbytown_Road","="
"VA079","http://dbpedia.org/resource/Battle_of_Boydton_Plank_Road","="
"VA080","http://dbpedia.org/resource/Battle_of_Fair_Oaks_&_Darbytown_Road","="
"VA081","http://dbpedia.org/resource/Battle_of_Marion","="
"VA082","http://dbpedia.org/resource/Battle_of_Saltville_II","="
"VA083","http://dbpedia.org/resource/Battle_of_Hatcher's_Run","="
"VA084","http://dbpedia.org/resource/Battle_of_Fort_Stedman","="
"VA085","http://dbpedia.org/resource/Battle_of_Lewis's_Farm","="
"VA086","http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House","="
"VA087","http://dbpedia.org/resource/Battle_of_White_Oak_Road","="
"VA088","http://dbpedia.org/resource/Battle_of_Five_Forks","="
"VA089","http://dbpedia.org/resource/Third_Battle_of_Petersburg","="
"VA090","http://dbpedia.org/resource/Battle_of_Sutherland's_Station","="
"VA091","http://dbpedia.org/resource/Battle_of_Amelia_Springs","="
"VA092","http://dbpedia.org/resource/Battle_of_Rice's_Station","="
"VA093","http://dbpedia.org/resource/Battle_of_Sayler's_Creek","="
"VA094","http://dbpedia.org/resource/Battle_of_Cumberland_Church","="
"VA095","http://dbpedia.org/resource/Battle_of_High_Bridge","="
"VA096","http://dbpedia.org/resource/Battle_of_Appomattox_Station","="
"VA097","http://dbpedia.org/resource/Battle_of_Appomattox_Court_House","="
"VA098","http://dbpedia.org/resource/First_Battle_of_Petersburg","="
"VA099","http://dbpedia.org/resource/Battle_of_Trevilian_Station","="
"VA100","http://dbpedia.org/resource/Battle_of_Cockpit_Point","="
"VA101","http://dbpedia.org/resource/First_Battle_of_Kernstown","="
"VA102","http://dbpedia.org/resource/Battle_of_McDowell","="
"VA103","http://dbpedia.org/resource/Battle_of_Front_Royal","="
"VA104","http://dbpedia.org/resource/First_Battle_of_Winchester","="
"VA105","http://dbpedia.org/resource/Battle_of_Cross_Keys","="
"VA106","http://dbpedia.org/resource/Battle_of_Port_Republic","="
"VA107","http://dbpedia.org/resource/Second_Battle_of_Winchester","="
"VA108","http://dbpedia.org/resource/Battle_of_Manassas_Gap","="
"VA109","http://dbpedia.org/resource/Battle_of_Cove_Mountain","="
"VA110","http://dbpedia.org/resource/Battle_of_New_Market","="
"VA111","http://dbpedia.org/resource/Battle_of_Piedmont","="
"VA113","http://dbpedia.org/resource/Battle_of_Staunton_River_Bridge","="
"VA114","http://dbpedia.org/resource/Battle_of_Cool_Spring","="
"VA115","http://dbpedia.org/resource/Battle_of_Rutherford's_Farm","="
"VA116","http://dbpedia.org/resource/Second_Battle_of_Kernstown","="
"VA117","http://dbpedia.org/resource/Battle_of_Guard_Hill","="
"VA118","http://dbpedia.org/resource/Battle_of_Berryville","="
"VA119","http://dbpedia.org/resource/Battle_of_Opequon","="
"VA120","http://dbpedia.org/resource/Battle_of_Fisher's_Hill","="
"VA121","http://dbpedia.org/resource/Battle_of_Tom's_Brook","="
"VA122","http://dbpedia.org/resource/Battle_of_Cedar_Creek","="
"VA123","http://dbpedia.org/resource/Battle_of_Waynesboro","="
"VA124","http://dbpedia.org/resource/Battle_of_Namozine_Church","="
"VA125","http://dbpedia.org/resource/Battle_of_Walkerton","="
"WV001","http://dbpedia.org/resource/Battle_of_Philippi_(West_Virginia)","="
"WV002","http://dbpedia.org/resource/Battle_of_Hoke's_Run","="
"WV003","http://dbpedia.org/resource/Battle_of_Rich_Mountain","="
"WV004","http://dbpedia.org/resource/Battle_of_Kessler's_Cross_Lanes","="
"WV005","http://dbpedia.org/resource/Battle_of_Cheat_Mountain","="
"WV006","http://dbpedia.org/resource/Battle_of_Carnifex_Ferry","="
"WV007","http://dbpedia.org/resource/Battle_of_Greenbrier_River","="
"WV008","http://dbpedia.org/resource/Battle_of_Camp_Allegheny","="
"WV009","http://dbpedia.org/resource/Battle_of_Princeton_Court_House","="
"WV010","http://dbpedia.org/resource/Battle_of_Harpers_Ferry","="
"WV012","http://dbpedia.org/resource/Battle_of_Droop_Mountain","="
"WV013","http://dbpedia.org/resource/Battle_of_Moorefield","="
"WV014","http://dbpedia.org/resource/Battle_of_Summit_Point","="
"WV015","http://dbpedia.org/resource/Battle_of_Smithfield_Crossing","="
"WV016","http://dbpedia.org/resource/Battle_of_Shepherdstown","="
